year,country,region,artist,song
2009,Lithuania,Former Socialist Bloc,Sasha Son ,Love
2009,Israel,Independent,Noa and Mira Awad ,There Must Be Another Way
2009,France,Western Europe,Patricia Kaas ,Et s'il fallait le faire
2009,Sweden,Scandinavia,Malena Ernman ,La voix
2009,Croatia,Former Yugoslavia,Igor Cukrov feat. Andrea ,Lijepa Tena
2009,Portugal,Western Europe,Flor-de-Lis ,Todas as ruas do amor
2009,Iceland,Scandinavia,Yohanna,Is It True?
2009,Greece,Western Europe,Sakis Rouvas ,This Is Our Night
2009,Armenia,Former Socialist Bloc,Inga and Anush ,Jan Jan
2009,Russia,Former Socialist Bloc,Anastasiya Prikhodko ,Mamo
2009,Azerbaijan,Former Socialist Bloc,AySel and Arash ,Always
2009,Bosnia and Herzegovina,Former Yugoslavia,Regina ,Bistra voda
2009,Moldova,Former Socialist Bloc,Nelly Ciobanu ,Hora din Moldova
2009,Malta,Western Europe,Chiara ,What If We
2009,Estonia,Former Socialist Bloc,Urban Symphony ,R_ndajad
2009,Denmark,Scandinavia,Niels Brinck ,Believe Again
2009,Germany,Western Europe,Alex Swings Oscar Sings! ,Miss Kiss Kiss Bang
2009,Turkey,Independent,Hadise ,Dém Tek Tek
2009,Albania,Former Socialist Bloc,Kejsi Tola ,Carry Me in Your Dreams
2009,Norway,Scandinavia,Alexander Rybak ,Fairytale
2009,Ukraine,Former Socialist Bloc,Svetlana Loboda ,Be My Valentine
2009,Romania,Former Socialist Bloc,Elena ,The Balkan Girls
2009,United Kingdom,Independent,Jade Ewen ,It's My Time
2009,Finland,Scandinavia,Waldo's People ,Lose Control
2009,Spain,Western Europe,Soraya Arnelas ,La noche es para m
2008,Romania,Former Socialist Bloc,Nico and Vlad,Pe-o margine de lume
2008,United Kingdom,Independent,Andy Abraham,Even If
2008,Albania,Former Socialist Bloc,Olta Boka,ZemrÇn E LamÇ Peng
2008,Germany,Western Europe,No Angels,Disappear
2008,Armenia,Former Socialist Bloc,Sirusho,"""Qele"
2008,Bosnia and Herzegovina,Former Yugoslavia,Laka,Poku_aj
2008,Israel,Independent,Boaz Ma'uda,The Fire in Your Eyes
2008,Finland,Scandinavia,Ter¾sbetoni,Miss_ Miehet Ratsastaa
2008,Croatia,Former Yugoslavia,Kraljevi Ulice and 75 cents,Romanca
2008,Poland,Former Socialist Bloc,Isis Gee,For Life
2008,Iceland,Scandinavia,Euroband,This is My Life
2008,Turkey,Independent,Mor ve _tesi,Deli
2008,Portugal,Western Europe,Vãnia Fernandes,Senhora do mar (Negras _guas)
2008,Latvia,Former Socialist Bloc,Pirates of the Sea,Wolves of the Sea
2008,Sweden,Scandinavia,Charlotte Perrelli,Hero
2008,Denmark,Scandinavia,Simon Mathew,All Night Long
2008,Georgia,Former Socialist Bloc,Diana Gurtskaya,Peace Will Come
2008,Ukraine,Former Socialist Bloc,Ani Lorak,Shady Lady
2008,France,Western Europe,S_bastien Tellier,Divine
2008,Azerbaijan,Former Socialist Bloc,Elnur and Samir,Day After Day
2008,Greece,Western Europe,Kalomira,Secret Combination
2008,Spain,Western Europe,Rodolfo Chikilicuatre,Baila el Chiki-chiki
2008,Serbia,Former Yugoslavia,Jelena Toma?evi?,Oro
2008,Russia,Former Socialist Bloc,Dima Bilan,Believe
2008,Norway,Scandinavia,Maria Haukaas Storeng,Hold On Be Strong
2007,Bosnia and Herzegovina,Former Yugoslavia,Marija,Rijeka bez imena
2007,Spain,Western Europe,D'NASH,I Love You Mi Vida
2007,Belarus,Former Socialist Bloc,Dmitry Koldun,Work Your Magic
2007,Ireland,Independent,Dervish,They Can't Stop The Spring
2007,Finland,Scandinavia,Hanna Pakarinen,Leave Me Alone
2007,Macedonia,Former Yugoslavia,Karolina,Mojot svet
2007,Slovenia,Former Yugoslavia,Alenka Gotar,Cvet z juga
2007,Hungary,Former Socialist Bloc,Magdi R£zsa,Unsubstantial Blues
2007,Lithuania,Former Socialist Bloc,4Fun,Love or Leave
2007,Greece,Western Europe,Sarbel,Yassou Maria
2007,Georgia,Former Socialist Bloc,Sopho,Visionary Dream
2007,Sweden,Scandinavia,The Ark,The Worrying Kind
2007,France,Western Europe,Les Fatals Picards,L'amour _ La Franaise
2007,Latvia,Former Socialist Bloc,Bonaparti.lv,Questa notte
2007,Russia,Former Socialist Bloc,Serebro,Song #1
2007,Germany,Western Europe,Roger Cicero,Frauen regier'n die Welt
2007,Serbia,Former Yugoslavia,Marija ?erifovi?,Molitva
2007,Ukraine,Former Socialist Bloc,Verka Serduchka,Dancing Lasha Tumbai
2007,United Kingdom,Independent,Scooch,Flying the Flag (for You)
2007,Romania,Former Socialist Bloc,Todomondo,"""Liubi"
2007,Bulgaria,Former Socialist Bloc,Elitsa Todorova and Stoyan Yankoulov,Water
2007,Turkey,Independent,Kenan Do?ulu,Shake It Up Shekerim
2007,Armenia,Former Socialist Bloc,Hayko,Anytime You Need
2007,Moldova,Former Socialist Bloc,Natalia Barbu,Fight
2006,Switzerland,Western Europe,six4one,If We All Give A Little
2006,Moldova,Former Socialist Bloc,Arsenium feat. Natalia Gordienko & Connect-R,Loca
